Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,ward,euclidean,4,0.55,17336.59,0.65,2.21
CC General,2,average,euclidean,1,,,,1.33
CC General,2,average,manhattan,1,,,,1.23
CC General,2,average,cosine,22,0.27,6025.35,2.27,1.92
CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,3.34
CC General,2,average,minkowski,1,,,,7.98
CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,11.44
CC General,2,complete,euclidean,1,,,,1.41
CC General,2,complete,manhattan,1,,,,1.31
CC General,2,complete,cosine,36,0.21,4089.27,3.31,2.05
CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,3.61
CC General,2,complete,minkowski,1,,,,8.55
CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,12.49
CC General,2,single,euclidean,1,,,,0.34
CC General,2,single,manhattan,1,,,,0.27
CC General,2,single,cosine,1,,,,0.74
CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,2.62
CC General,2,single,minkowski,1,,,,6.25
CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,8.88
CC General,3,ward,euclidean,5,0.52,11284.95,0.81,2.2
CC General,3,average,euclidean,1,,,,1.37
CC General,3,average,manhattan,1,,,,1.29
CC General,3,average,cosine,122,0.32,3008.37,1.51,2.14
CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,4.26
CC General,3,average,minkowski,1,,,,10.16
CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,14.44
CC General,3,complete,euclidean,1,,,,1.42
CC General,3,complete,manhattan,1,,,,1.37
CC General,3,complete,cosine,262,0.23,2646.43,1.86,2.3
CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,4.38
CC General,3,complete,minkowski,1,,,,10.54
CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,14.89
CC General,3,single,euclidean,1,,,,0.33
CC General,3,single,manhattan,1,,,,0.27
CC General,3,single,cosine,4,-0.35,0.15,3.81,1.52
CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,3.37
CC General,3,single,minkowski,1,,,,8.26
CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,11.58
CC General,4,ward,euclidean,6,0.49,6416.65,0.79,2.3
CC General,4,average,euclidean,1,,,,1.42
CC General,4,average,manhattan,1,,,,1.39
CC General,4,average,cosine,320,0.35,2121.19,0.85,2.28
CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,4.64
CC General,4,average,minkowski,1,,,,11.11
CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,15.8
CC General,4,complete,euclidean,1,,,,1.56
CC General,4,complete,manhattan,1,,,,1.48
CC General,4,complete,cosine,545,0.32,2703.43,0.98,2.41
CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,4.75
CC General,4,complete,minkowski,1,,,,11.55
CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,16.38
CC General,4,single,euclidean,1,,,,0.31
CC General,4,single,manhattan,1,,,,0.27
CC General,4,single,cosine,42,-0.52,0.33,2.27,1.49
CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,3.7
CC General,4,single,minkowski,1,,,,9.16
CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,12.84
COVID-19,2,ward,euclidean,11,0.55,1498.88,0.55,0.0
COVID-19,2,average,euclidean,4,0.68,888.07,0.47,0.0
COVID-19,2,average,manhattan,4,0.68,849.85,0.48,0.0
COVID-19,2,average,cosine,15,0.53,1208.5,0.65,0.0
COVID-19,2,average,mahalanobis,161,0.25,32763.04,0.14,0.03
COVID-19,2,average,minkowski,4,0.68,888.07,0.47,0.08
COVID-19,2,average,mahalanobis,161,0.25,32763.04,0.14,0.12
COVID-19,2,complete,euclidean,6,0.62,1019.71,0.56,0.0
COVID-19,2,complete,manhattan,7,0.63,1077.85,0.51,0.0
COVID-19,2,complete,cosine,25,0.44,1127.02,0.89,0.01
COVID-19,2,complete,mahalanobis,166,0.25,40930.43,0.15,0.03
COVID-19,2,complete,minkowski,6,0.62,1019.71,0.56,0.09
COVID-19,2,complete,mahalanobis,166,0.25,40930.43,0.15,0.13
COVID-19,2,single,euclidean,1,,,,0.0
COVID-19,2,single,manhattan,1,,,,0.0
COVID-19,2,single,cosine,3,0.4,103.16,0.74,0.0
COVID-19,2,single,mahalanobis,149,0.21,7354.78,0.15,0.02
COVID-19,2,single,minkowski,1,,,,0.07
COVID-19,2,single,mahalanobis,149,0.21,7354.78,0.15,0.1
COVID-19,3,ward,euclidean,20,0.44,548.71,0.72,0.01
COVID-19,3,average,euclidean,7,0.52,362.9,0.65,0.0
COVID-19,3,average,manhattan,12,0.51,331.37,0.63,0.0
COVID-19,3,average,cosine,46,0.42,287.82,0.5,0.01
COVID-19,3,average,mahalanobis,210,0.09,37611.75,0.03,0.04
COVID-19,3,average,minkowski,7,0.52,362.9,0.65,0.11
COVID-19,3,average,mahalanobis,210,0.09,37611.75,0.03,0.16
COVID-19,3,complete,euclidean,11,0.51,456.92,0.73,0.0
